Name;Value
Foliage;Evergreen
P50_VC_Leaf; -3.4
slope_VC_Leaf;60
P50_VC_Stem; -3.4
slope_VC_Stem;60
P12_gs;-1.5
P88_gs;-2.2
epsilonSym_Leaf;10
PiFullTurgor_Leaf;-2.1
apoFrac_Leaf;0.4
LDMC;500
LMA;106
k_PlantInit;0.62
k_SSymInit;0.26
canopyStorageParam;1.5
K;0.5
Tbase;3
Fcrit;450
PTcoeff;1.14
gmin20;3
TPhase_gmin;37.5
Q10_1_gmin;1.2
Q10_2_gmin;4.8
gmin_S;3
gCrown0;100
gsMax;220
gsNight;20
JarvisPAR;0.003
Tgs_sens;17
Tgs_optim;25
fRootToLeaf;1
rootRadius;0.0002
betaRootProfile;0.99 
PiFullTurgor_Stem;-2.1
epsilonSym_Stem;10
apoFrac_Stem;0.4
symFrac_Stem;0.2
vol_Stem;15
fTRBToLeaf;0.8
C_LApoInit;0.00001
C_SApoInit;0.00002
turgorPressureAtGsMax;2
PsiStartClosing;-1
PsiClose;-3.3
